win|勝つ
perceive|～に気付く
smell|においがする
blow|吹く
hate|大変嫌う
reject|拒絶する
deny|否定する
escape|免れる
blame|せいにする
remind|思い出させる
amaze|驚嘆させる
bore|退屈させる
convince|納得させる
extend|延長する
intend|意図する
insist|要求する
reply|返事を出す
typical|典型的な
rural|田園の
commercial|商業的な
straight|真っ直ぐな
efficient|効率のよい
ideal|理想的な
actual|実際の
explore|探検する
encounter|直面する
settle|定住する
emphasize|強調する
evolve|発展する
cure|治す
freeze|凍る
repair|修理する
recommend|勧める
disaster|災害
flood|洪水
soil|土壌
moral|道徳
religion|宗教
reward|褒美
element|要素
perspective|観点
civilization|文明
democracy|民主主義
foundation|基盤
capital|資本
era|時代
circumstance|状況
comment|見解
campaign|運動
symbol|象徴
conference|会議
court|法廷
trial|裁判
hypothesis|仮説
statistics|統計
analysis|分析
laboratory|研究所
organ|臓器
fossil|化石
agriculture|農業
property|財産
square|正方形
client|依頼人
ability|能力
anxiety|不安
joke|冗談
delay|遅れ
tough|困難な
severe|厳しい
constant|絶え間ない
sensitive|敏感な
nervous|緊張して
narrow|狭い
broad|広範囲な
enormous|巨大な
thick|分厚い
empty|からの
strict|厳しい
firm|確固とした
fundamental|基本の
linguistic|言語の
conscious|意識して
alive|生きている
excellent|すばらしい
calm|冷静な
rapid|急速な
military|軍の
civil|市民の
distant|遠い
contrary|反対の
remarkable|著しい
reserve|を予約する
deliver|配達する
gather|を集める
import|を輸入する
transport|を輸送する
transform|を変える
translate|を翻訳する
interpret|を解釈する
facinate|を魅了する
embarrass|困らせる
disappoint|を失望させる
bother|に迷惑かける
oppose|に反対する
ban|禁止する
frighten|を怖がらせる
regret|を後悔する
overcome|を克服する
commit|約束する、犯す
employ|を雇用する
obtain|を得る
propose|を提案する
announce|を発表する
inspire|を奮起させる
inform|に知らせる
breathe|呼吸する
borrow|を(無料で)借りる
invest|投資する
grant|を(求めに応じて)与える
distinguish|見分ける
differ|異なる
construct|を建設する
manufacture|を(大量に)製造する
arise|生じる
breed|(動物が子を)産む
celebrate|(行事など)を祝う
react|反応する
rush|急いで行く
stare|じっと見つめる
consist|成る
imply|を暗に示す
melt|(熱で)溶ける
warm|に警告する
youth|青年時代
gender|(男女の)性
tribe|部族
army|軍隊
minister|大臣
victim|被害者 犠牲者
harm|害
crisis|危機
hunger|飢え
dozen|1ダース
quarter|4分の1
length|(物や時間の)長さ
notion|考え
criticism|批判
review|批評
confidence|自信
philosophy|哲学
broadcast|放送
occasion|機会
code|規範
dialect|方言
ritual|儀式
substance|物資
virus|ウイルス
barrier|障壁
diversity|多様性
corporation|(大)企業
facility|施設
agency|(行政上の)機関
instrument|楽器
leisure|余暇
vision|(将来の)展望
emergency|緊急(事態)
glacier|氷河
reasonable|理にかなった
sufficient|十分な
smart|頭の良い
pleasant|(物事が)楽しい
elementary|初等(教育)の
proper|適切な
virtual|仮想の
sudden|急な
immediate|即座の
remort|遠く離れた
unclear|原子力の
aggressive|攻撃的な
contemporary|現代の
conventional|従来の
asleep|眠って
minor|重要でない
evil|邪悪な
anxious|心配して
domestic|国内の
widespread|広範囲にわたる
verbal|言葉による
thin|薄い
annual|1年間の
crucial|重大な
adjust|順応する
accustom|を慣れさせる
arrange|を(きちんと)ならべる
absorb|吸収する
abandon|を捨てる
recover|回復する
guarantee|を保証する
confirm|確認する
dominate|を支配する
secure|を確保する
capture|を捕らえる
dig|を掘る
transfer|を移す
alter|を変える
apologize|謝る
advise|に助言する
permit|を許可する
persuade|を説得する
command|を命ずる
praise|をほめる
admire|に感嘆する
award|を授与する
possess|を所有している
pretend|ふりをする
upset|を動揺させる
annoy|を悩ます
scare|を怖がらせる
crash|(大きな音を立てて)衝突する
injure|を傷つける
lift|を持ち上げる
isolate|を孤立させる
shake|を振る
swallow|を飲み込む
lend|(人)に(物)を貸す
expose|をさらす
investigate|を調査する
hire|を雇う
favor|に賛成する
hurry|急ぐ
chat|おしゃべりする
remark|と述べる
concentrate|精神を集中する
ceremony|式典
humanity|人類
proportion|割合
territory|領土
continent|大陸
valley|谷
earthquake|地震
harvest|収穫
grain|穀物
quantity|量
shortage|不足
depression|不景気
fault|過失
alarm|警報(機)
weapon|武器
prison|刑務所
wisdom|賢いこと
instruction|指示
budget|予算(案)
vote|投票
theory|理論
mystery|なぞ 神秘
myth|神話
psychology|心理学
innovation|革新
duty|義務
routine|日課
mammal|哺乳類
infant|乳児
fee|料金
surgery|(外科)手術
trait|(人の性格などの)特性
edge|へり
landscape|風景
biological|生物(学)の
marine|海洋の
tropical|熱帯(地方)の
exact|正確な
pure|純粋な
initial|初期の
principal|主要な
superior|優れている
vital|極めて重要な
intense|激しい
distinct|全く異なる
numerous|多数の
odd|奇妙な
extraordinary|並はずれた
artificial|人工の
manual|手による
rational|理性のある
cuarios|好奇心の強い
lonely|(孤独で)寂しい
rude|無礼な
shy|内気な
equivalent|相当する
precise|正確な
brief|短時間の
illustrate|を説明する
distribute|を配送する
cope|(うまく)対処する
detect|を見つける
convey|を伝達する
stretch|伸びる
calculate|を計算する
pile|を積み重ねる
launch|を始める
export|を輸出する
protest|抗議する
disturb|を邪魔する
surround|を囲む
devote|(時間など)を充てる
occupy|を占める
pursue|を追求する
quit|をやめる
shut|を閉める
collapse|崩壊する
dislike|を嫌う
neglect|をおろそかにする
restrict|を制限する
declare|を制限する
urge|を強く促す
approve|賛成する
hug|を抱き締める
bow|おじぎする
sue|訴える
puzzle|を当惑する
exhaust|を使い果たす
delight|を大喜びさせる
suspect|疑う
attach|をつける
lay|横になる,を置く
fold|を折り畳む
accompany|と一緒に行く
resemble|に似ている
weight|の重さがある
rent|を賃借りする
stimulate|を刺激する
scream|叫び声を上げる
retire|引退する
destination|目的地
discipline|規律 しつけ
district|(行政などの)地区
enemy|敵
opponent|(試合などの)相手
poison|毒
burden|(精神的)負担
garbage|(生)ごみ
stuff|持ち物 材料
height|高度
row|(横の)列
outcome|結果
symptom|症状
incident|事件
wound|傷
sacrifice|犠牲(的行為)
insight|洞察(力)
mission|使命 任務
reputation|評判
profession|(専門的な)職業
muscle|筋肉
welfare|福祉
justice|正義
treasure|宝物
colony|植民(地)
election|選挙
pole|棒,極(地)
witness|目撃者
glance|ちらりと見る
trace|形跡,たどる
secretary|秘書
editor|編集者
sum|総額
liquid|液体
flexible|柔軟な
plain|わかりやすい
modest|控えめな
eager|熱望して
stable|安定した
internal|内部の
external|外部の
solid|固体の
raw|生の
permanent|永久の
temporary|臨時の
instant|即時の
reluctant|気が進まない
stupid|愚かな ばかげた
frank|(人に対して)率直な
alike|似ている
frequent|頻繁な
incredible|信じられない
royal|王室の
primitive|原始の
guilty|罪悪感のある
mutual|相互の
steady|着実な
apparent|明らかな
defend|を守る
beat|(続けざまに)打つ 殴る
defeat|(対戦相手)を負かす
resist|を我慢する
accuse|を非難する
punish|を罰する
evaluate|を評価する
pose|(問題など)を投げかける
impose|を押しつける
compose|を構成する
yield|を産出する
derive|由来する
eliminate|を取り除く
sustain|を持続させる
hang|を掛ける
load|を積む
seal|を密閉する
substitute|を代わりに使う
bend|を曲げる
boil|を沸かす
pour|を注ぐ
cheer|を元気づける
awake|目覚める
dispute|に異議を唱える
endure|を我慢する 耐える
imitate|をまねる 手本とする
impress|を感動させる
ruin|を台無しにする
classify|を分類する
convert|を変える
assist|(人)を手伝う
pause|(一時的に)休止する 間合いを置く
vanish|消え失せる
discourage|に思いとどまらせる を落胆させる
relieve|(苦痛など)を和らげる 減らす
frustrate|に不満を抱かせる
weaken|を衰弱させる 弱める
accomplish|を成し遂げる
deserve|に値する
owe|はおかげである
polish|を磨く
shine|輝く
logic|論理
mechanism|仕組み
frame|額縁
boundary|境界(線)
committee|委員会
council|(地方自治体の)議会
jury|陪審(員団)
neighbor|近所の人 隣人
globe|世界
empire|帝国
horizon|水平線 地平線
furniture|家具
tag|値札
trash|ごみ
litter|(公共の場での)ごみ
wheat|小麦
courage|勇気
passion|情熱
prejudice|偏見
faith|信頼
honor|光栄
luxury|ぜいたく
priority|優先事項
guard|警戒
fate|運命
trap|わな
physician|内科医 医師
slave|奴隷
thief|泥棒
scholarship|奨学金
discount|割引
poety|(集合的に)詩
shade|日陰
throat|のど
slight|わずかな
tight|しっかりした (服・靴などが)きつい
smooth|滑らかな
